
;NB_triplets
Nb triplets;48751

;NB_o
Nb "o";22185

;NB_s
Nb "s";14637

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;23049
Nb "p" links distribution;"P569";NULL;14820
Nb "p" links distribution;"P570";NULL;9520
Nb "p" links distribution;"P26";NULL;1009
Nb "p" links distribution;"P108";NULL;298
Nb "p" links distribution;"P286";NULL;55

;TYPE;CONFLICT_CODE;NB
Nb conflicts distribution;"C1";NULL;363
Nb conflicts distribution;"C3";NULL;106
Nb conflicts distribution;"C2";NULL;353
Nb conflicts distribution;"C14";NULL;3541
Nb conflicts distribution;"C0";NULL;119853
Nb conflicts distribution;"C19";NULL;556
Nb conflicts distribution;"C8";NULL;266851
Nb conflicts distribution;"C6";NULL;873
Nb conflicts distribution;"C7";NULL;8
Nb conflicts distribution;"C16";NULL;1
Nb conflicts distribution;"C4";NULL;3

;NB_pCon;NB_pConpInc;NB_pInc;NB_tInc;NB_total
Nb temporal conflicts;0;0;0;0;0

;o_ID;NB
Distribution of linked "o";"Q314851";289
Distribution of linked "o";"Q1277549";223
Distribution of linked "o";"Q2016992";216
Distribution of linked "o";"Q316497";201
Distribution of linked "o";"Q4512";193
Distribution of linked "o";"Q324854";185
Distribution of linked "o";"Q43310";174
Distribution of linked "o";"Q47774";162
Distribution of linked "o";"Q204238";118
Distribution of linked "o";"Q319699";112
Distribution of linked "o";"Q1450557";105
Distribution of linked "o";"Q132885";99
Distribution of linked "o";"Q1344163";98
Distribution of linked "o";"Q47762";98
Distribution of linked "o";"Q42267";98
Distribution of linked "o";"Q495299";94
Distribution of linked "o";"Q181930";94
Distribution of linked "o";"Q499616";93
Distribution of linked "o";"Q514714";92
Distribution of linked "o";"Q1202759";92
Distribution of linked "o";"Q104761";91
Distribution of linked "o";"Q1129595";89
Distribution of linked "o";"Q822990";86
Distribution of linked "o";"Q1543";85
Distribution of linked "o";"Q922698";84
Distribution of linked "o";"Q105254";83
Distribution of linked "o";"Q189671";82
Distribution of linked "o";"Q5794";79
Distribution of linked "o";"Q9617";77
Distribution of linked "o";"Q678582";77
Distribution of linked "o";"Q3589784";75
Distribution of linked "o";"Q2713491";75
Distribution of linked "o";"Q113136";75
Distribution of linked "o";"Q1450568";74
Distribution of linked "o";"20000101";73
Distribution of linked "o";"Q18739";71
Distribution of linked "o";"Q102720";71
Distribution of linked "o";"Q3873550";70
Distribution of linked "o";"Q15789";69
Distribution of linked "o";"Q33748";69
Distribution of linked "o";"Q2714";68
Distribution of linked "o";"Q676899";67
Distribution of linked "o";"Q104770";66
Distribution of linked "o";"Q631";65
Distribution of linked "o";"Q1811026";65
Distribution of linked "o";"Q83459";64
Distribution of linked "o";"Q267245";63
Distribution of linked "o";"Q51976";63
Distribution of linked "o";"Q1422";62
Distribution of linked "o";"Q2739";62
Distribution of linked "o";"Q18741";61
Distribution of linked "o";"Q483020";60
Distribution of linked "o";"Q152424";60
Distribution of linked "o";"Q18716";59
Distribution of linked "o";"Q208399";59
Distribution of linked "o";"Q601723";58
Distribution of linked "o";"Q2701714";58
Distribution of linked "o";"Q1130849";58
Distribution of linked "o";"Q8701";57
Distribution of linked "o";"Q899189";57
Distribution of linked "o";"Q38245";57
Distribution of linked "o";"Q18708";56
Distribution of linked "o";"Q302977";56
Distribution of linked "o";"Q698702";55
Distribution of linked "o";"Q303033";55
Distribution of linked "o";"Q3873548";54
Distribution of linked "o";"Q6601875";53
Distribution of linked "o";"Q201360";53
Distribution of linked "o";"Q9616";52
Distribution of linked "o";"Q8466";51
Distribution of linked "o";"Q2356290";51
Distribution of linked "o";"Q1202768";51
Distribution of linked "o";"Q158121";51
Distribution of linked "o";"Q1202757";51
Distribution of linked "o";"Q2768";51
Distribution of linked "o";"Q17354166";50
Distribution of linked "o";"Q1630430";49
Distribution of linked "o";"Q22707";49
Distribution of linked "o";"Q106394";49
Distribution of linked "o";"Q2358861";49
Distribution of linked "o";"Q331650";49
Distribution of linked "o";"Q212269";48
Distribution of linked "o";"Q79800";48
Distribution of linked "o";"Q6502565";48
Distribution of linked "o";"Q3873525";48
Distribution of linked "o";"Q2752922";47
Distribution of linked "o";"Q7156";46
Distribution of linked "o";"Q3590033";46
Distribution of linked "o";"Q193481";45
Distribution of linked "o";"Q105853";45
Distribution of linked "o";"Q279043";45
Distribution of linked "o";"Q693951";44
Distribution of linked "o";"Q2308235";43
Distribution of linked "o";"Q168397";43
Distribution of linked "o";"Q172476";42
Distribution of linked "o";"Q204204";42
Distribution of linked "o";"Q34044";42
Distribution of linked "o";"Q204888";42
Distribution of linked "o";"Q170125";41
Distribution of linked "o";"Q310608";41
Distribution of linked "o";"Q8682";40
Distribution of linked "o";"Q18723";40
