
;NB_triplets
Nb triplets;9707

;NB_o
Nb "o";3368

;NB_s
Nb "s";1655

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;6573
Nb "p" links distribution;"P569";NULL;1691
Nb "p" links distribution;"P570";NULL;902
Nb "p" links distribution;"P26";NULL;461
Nb "p" links distribution;"P108";NULL;60
Nb "p" links distribution;"P286";NULL;20

;TYPE;CONFLICT_CODE;NB
Nb conflicts distribution;"C16";NULL;15
Nb conflicts distribution;"C1";NULL;45
Nb conflicts distribution;"C0";NULL;85824
Nb conflicts distribution;"C3";NULL;63
Nb conflicts distribution;"C2";NULL;40
Nb conflicts distribution;"C14";NULL;3282
Nb conflicts distribution;"C17";NULL;2
Nb conflicts distribution;"C19";NULL;462
Nb conflicts distribution;"C8";NULL;82035
Nb conflicts distribution;"C6";NULL;313

;NB_pCon;NB_pConpInc;NB_pInc;NB_tInc;NB_total
Nb temporal conflicts;0;0;0;0;0

;o_ID;NB
Distribution of linked "o";"Q1277549";163
Distribution of linked "o";"Q47774";138
Distribution of linked "o";"Q1450557";90
Distribution of linked "o";"Q1543";75
Distribution of linked "o";"Q1344163";73
Distribution of linked "o";"Q5794";67
Distribution of linked "o";"Q132885";65
Distribution of linked "o";"Q9617";63
Distribution of linked "o";"Q495299";62
Distribution of linked "o";"Q922698";57
Distribution of linked "o";"Q42267";51
Distribution of linked "o";"Q2701714";48
Distribution of linked "o";"Q1130849";47
Distribution of linked "o";"Q2714";47
Distribution of linked "o";"Q3589784";45
Distribution of linked "o";"Q1450568";44
Distribution of linked "o";"Q1422";44
Distribution of linked "o";"Q208399";43
Distribution of linked "o";"Q204204";42
Distribution of linked "o";"Q18739";41
Distribution of linked "o";"Q15789";39
Distribution of linked "o";"Q204675";38
Distribution of linked "o";"Q3590033";37
Distribution of linked "o";"Q2739";37
Distribution of linked "o";"Q631";36
Distribution of linked "o";"Q704";36
Distribution of linked "o";"Q172476";35
Distribution of linked "o";"Q18716";35
Distribution of linked "o";"Q7156";34
Distribution of linked "o";"Q3873548";34
Distribution of linked "o";"Q19597";34
Distribution of linked "o";"Q2609";33
Distribution of linked "o";"Q9616";33
Distribution of linked "o";"Q314851";33
Distribution of linked "o";"Q1129595";33
Distribution of linked "o";"Q131499";30
Distribution of linked "o";"Q1775265";30
Distribution of linked "o";"Q2347256";29
Distribution of linked "o";"Q267245";29
Distribution of linked "o";"Q2637337";29
Distribution of linked "o";"Q182876";28
Distribution of linked "o";"Q918209";28
Distribution of linked "o";"Q2713491";28
Distribution of linked "o";"Q2627402";28
Distribution of linked "o";"Q1630430";27
Distribution of linked "o";"Q8701";27
Distribution of linked "o";"Q3873513";27
Distribution of linked "o";"Q79800";26
Distribution of linked "o";"Q676899";26
Distribution of linked "o";"Q8806";25
Distribution of linked "o";"Q19444";25
Distribution of linked "o";"Q514714";24
Distribution of linked "o";"Q270995";24
Distribution of linked "o";"Q1812121";24
Distribution of linked "o";"Q18708";24
