
;NB_triplets
Nb triplets;147611

;NB_o
Nb "o";41330

;NB_s
Nb "s";31610

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;94482
Nb "p" links distribution;"P569";NULL;32018
Nb "p" links distribution;"P570";NULL;18320
Nb "p" links distribution;"P26";NULL;2204
Nb "p" links distribution;"P108";NULL;442
Nb "p" links distribution;"P286";NULL;145

;TYPE;CONFLICT_CODE;NB
Nb conflicts distribution;"C8";NULL;1227774
Nb conflicts distribution;"C0";NULL;1233776
Nb conflicts distribution;"C6";NULL;4297
Nb conflicts distribution;"C3";NULL;411
Nb conflicts distribution;"C2";NULL;598
Nb conflicts distribution;"C14";NULL;3971
Nb conflicts distribution;"C1";NULL;686
Nb conflicts distribution;"C19";NULL;1135
Nb conflicts distribution;"C4";NULL;995
Nb conflicts distribution;"C17";NULL;8
Nb conflicts distribution;"C7";NULL;1601
Nb conflicts distribution;"C16";NULL;36

;NB_pCon;NB_pConpInc;NB_pInc;NB_tInc;NB_total
Nb temporal conflicts;0;0;0;0;0

;o_ID;NB
Distribution of linked "o";"Q47762";478
Distribution of linked "o";"Q1277549";463
Distribution of linked "o";"Q204238";461
Distribution of linked "o";"Q47774";452
Distribution of linked "o";"Q314851";447
Distribution of linked "o";"Q83459";430
Distribution of linked "o";"Q676899";425
Distribution of linked "o";"Q1129595";419
Distribution of linked "o";"Q42267";363
Distribution of linked "o";"Q922698";355
Distribution of linked "o";"Q2016992";344
Distribution of linked "o";"Q316497";337
Distribution of linked "o";"Q324854";303
Distribution of linked "o";"Q1543";297
Distribution of linked "o";"Q43310";296
Distribution of linked "o";"Q79800";290
Distribution of linked "o";"Q631";279
Distribution of linked "o";"Q132885";265
Distribution of linked "o";"Q3873548";252
Distribution of linked "o";"Q5794";251
Distribution of linked "o";"Q7156";251
Distribution of linked "o";"Q47050";246
Distribution of linked "o";"Q4512";246
Distribution of linked "o";"Q8701";244
Distribution of linked "o";"Q9617";240
Distribution of linked "o";"Q1130849";238
Distribution of linked "o";"Q80964";235
Distribution of linked "o";"Q270995";235
Distribution of linked "o";"Q2739";230
Distribution of linked "o";"Q2356290";230
Distribution of linked "o";"Q2713491";219
Distribution of linked "o";"Q1624749";215
Distribution of linked "o";"Q2701714";212
Distribution of linked "o";"Q1344163";211
Distribution of linked "o";"Q1450557";209
Distribution of linked "o";"Q499616";207
Distribution of linked "o";"Q163534";205
Distribution of linked "o";"Q1422";202
Distribution of linked "o";"Q18716";201
Distribution of linked "o";"Q168397";199
Distribution of linked "o";"Q160826";198
Distribution of linked "o";"Q18708";197
Distribution of linked "o";"Q2768";195
Distribution of linked "o";"Q495299";195
Distribution of linked "o";"Q1811026";194
Distribution of linked "o";"Q9616";192
Distribution of linked "o";"Q131499";192
Distribution of linked "o";"Q18739";192
Distribution of linked "o";"Q483020";192
Distribution of linked "o";"Q2308235";191
Distribution of linked "o";"Q19597";190
Distribution of linked "o";"Q2358861";189
Distribution of linked "o";"Q18656";188
Distribution of linked "o";"Q1110944";185
Distribution of linked "o";"Q483868";182
Distribution of linked "o";"Q1464421";181
Distribution of linked "o";"Q2637337";181
Distribution of linked "o";"Q134916";179
Distribution of linked "o";"Q1630430";179
Distribution of linked "o";"Q319699";176
Distribution of linked "o";"Q18741";176
Distribution of linked "o";"Q678582";173
Distribution of linked "o";"Q6601875";171
Distribution of linked "o";"Q2074";170
Distribution of linked "o";"Q102720";170
Distribution of linked "o";"Q18747";169
Distribution of linked "o";"Q506832";169
Distribution of linked "o";"Q80955";167
Distribution of linked "o";"Q2693";167
Distribution of linked "o";"20000101";166
Distribution of linked "o";"Q181930";166
Distribution of linked "o";"Q80987";165
Distribution of linked "o";"Q104761";163
Distribution of linked "o";"Q267245";163
Distribution of linked "o";"Q163547";161
Distribution of linked "o";"Q170561";160
Distribution of linked "o";"Q514714";158
Distribution of linked "o";"Q18744";157
Distribution of linked "o";"Q33748";156
Distribution of linked "o";"Q19604";154
Distribution of linked "o";"Q105254";153
Distribution of linked "o";"Q18723";152
Distribution of linked "o";"Q194393";149
Distribution of linked "o";"Q483856";149
Distribution of linked "o";"Q2609";148
Distribution of linked "o";"Q1049171";147
Distribution of linked "o";"Q10329";147
Distribution of linked "o";"Q19580";147
Distribution of linked "o";"Q2752922";146
Distribution of linked "o";"Q34044";146
Distribution of linked "o";"Q2310295";146
Distribution of linked "o";"Q3873527";145
Distribution of linked "o";"Q173009";144
Distribution of linked "o";"Q189671";144
Distribution of linked "o";"Q193481";144
Distribution of linked "o";"Q35933";142
Distribution of linked "o";"Q166196";142
Distribution of linked "o";"Q1450568";142
Distribution of linked "o";"Q164134";141
Distribution of linked "o";"Q3589784";139
Distribution of linked "o";"Q8682";138
Distribution of linked "o";"Q8835";138
Distribution of linked "o";"Q8466";138
Distribution of linked "o";"Q3873513";138
Distribution of linked "o";"Q2331381";137
Distribution of linked "o";"Q188277";135
Distribution of linked "o";"Q18711";135
Distribution of linked "o";"Q166776";135
Distribution of linked "o";"Q15789";135
Distribution of linked "o";"Q3873525";133
Distribution of linked "o";"Q1772776";133
Distribution of linked "o";"Q18732";133
Distribution of linked "o";"Q38568";132
Distribution of linked "o";"Q822990";132
Distribution of linked "o";"Q134479";131
Distribution of linked "o";"Q19467";131
Distribution of linked "o";"Q1202759";130
Distribution of linked "o";"Q2798";130
Distribution of linked "o";"Q80845";130
Distribution of linked "o";"Q1457";129
Distribution of linked "o";"Q1893";128
Distribution of linked "o";"Q2714";128
Distribution of linked "o";"Q2819143";128
Distribution of linked "o";"Q15799";127
Distribution of linked "o";"Q164089";127
Distribution of linked "o";"Q726080";127
Distribution of linked "o";"Q17479";126
Distribution of linked "o";"Q268208";126
Distribution of linked "o";"Q15786";126
Distribution of linked "o";"Q2052";125
Distribution of linked "o";"Q1886";125
Distribution of linked "o";"Q38245";125
Distribution of linked "o";"Q172476";125
Distribution of linked "o";"Q2255267";125
Distribution of linked "o";"Q303033";121
Distribution of linked "o";"Q289112";121
Distribution of linked "o";"Q104770";120
Distribution of linked "o";"Q1133475";119
Distribution of linked "o";"Q184387";119
Distribution of linked "o";"Q12297";119
Distribution of linked "o";"Q815515";119
Distribution of linked "o";"Q50602";119
Distribution of linked "o";"Q1128631";118
Distribution of linked "o";"Q4122219";118
Distribution of linked "o";"Q131785";118
Distribution of linked "o";"Q994811";118
Distribution of linked "o";"Q478317";117
Distribution of linked "o";"Q221695";117
Distribution of linked "o";"Q1672798";117
Distribution of linked "o";"Q4201740";116
Distribution of linked "o";"Q32494";116
Distribution of linked "o";"Q2442864";115
Distribution of linked "o";"Q3590033";115
Distribution of linked "o";"Q8780";115
Distribution of linked "o";"Q152424";115
Distribution of linked "o";"Q19453";114
Distribution of linked "o";"Q187528";114
Distribution of linked "o";"Q18736";112
Distribution of linked "o";"Q2175909";110
Distribution of linked "o";"Q19490";110
Distribution of linked "o";"Q19462";110
Distribution of linked "o";"Q107818";110
Distribution of linked "o";"Q704";109
Distribution of linked "o";"Q8760";109
Distribution of linked "o";"Q208399";109
Distribution of linked "o";"Q185163";109
Distribution of linked "o";"Q10319";108
Distribution of linked "o";"Q201360";107
Distribution of linked "o";"Q19477";106
Distribution of linked "o";"Q3873550";105
Distribution of linked "o";"Q1049176";105
Distribution of linked "o";"Q5014111";104
Distribution of linked "o";"Q81888";104
Distribution of linked "o";"Q488454";104
Distribution of linked "o";"Q852033";104
Distribution of linked "o";"Q3873503";104
Distribution of linked "o";"Q10300";104
Distribution of linked "o";"Q190978";102
Distribution of linked "o";"Q543842";101
Distribution of linked "o";"Q18750";101
Distribution of linked "o";"Q388487";101
Distribution of linked "o";"Q172020";101
Distribution of linked "o";"Q844238";101
Distribution of linked "o";"Q198032";101
Distribution of linked "o";"Q1812121";101
Distribution of linked "o";"Q2331232";101
Distribution of linked "o";"Q19446";100
Distribution of linked "o";"Q749113";100
Distribution of linked "o";"Q1270152";99
