
;NB_triplets
Nb triplets;221091

;NB_o
Nb "o";41331

;NB_s
Nb "s";31610

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;135758
Nb "p" links distribution;"P569";NULL;50857
Nb "p" links distribution;"P570";NULL;29805
Nb "p" links distribution;"P26";NULL;3714
Nb "p" links distribution;"P108";NULL;728
Nb "p" links distribution;"P286";NULL;229

;TYPE;CONFLICT_CODE;NB
Nb conflicts distribution;"C16";NULL;1533
Nb conflicts distribution;"C1";NULL;2039
Nb conflicts distribution;"C0";NULL;5451454
Nb conflicts distribution;"C3";NULL;4410
Nb conflicts distribution;"C2";NULL;1783
Nb conflicts distribution;"C14";NULL;16058
Nb conflicts distribution;"C17";NULL;516
Nb conflicts distribution;"C19";NULL;3158
Nb conflicts distribution;"C8";NULL;5429661
Nb conflicts distribution;"C7";NULL;72497
Nb conflicts distribution;"C6";NULL;65652
Nb conflicts distribution;"C4";NULL;37122
Nb conflicts distribution;"C5";NULL;385

;NB_pCon;NB_pConpInc;NB_pInc;NB_tInc;NB_total
Nb temporal conflicts;0;0;0;0;0

;o_ID;NB
Distribution of linked "o";"Q314851";776
Distribution of linked "o";"Q204238";700
Distribution of linked "o";"Q47762";698
Distribution of linked "o";"Q83459";695
Distribution of linked "o";"Q1277549";675
Distribution of linked "o";"Q316497";628
Distribution of linked "o";"Q2016992";625
Distribution of linked "o";"Q676899";576
Distribution of linked "o";"Q47774";555
Distribution of linked "o";"Q324854";555
Distribution of linked "o";"Q1129595";545
Distribution of linked "o";"Q922698";505
Distribution of linked "o";"Q42267";495
Distribution of linked "o";"Q43310";489
Distribution of linked "o";"Q1543";455
Distribution of linked "o";"Q4512";451
Distribution of linked "o";"Q79800";397
Distribution of linked "o";"Q631";384
Distribution of linked "o";"Q7156";380
Distribution of linked "o";"Q132885";378
Distribution of linked "o";"Q80964";367
Distribution of linked "o";"Q47050";357
Distribution of linked "o";"Q9617";355
Distribution of linked "o";"Q1811026";352
Distribution of linked "o";"Q2308235";349
Distribution of linked "o";"Q3873548";345
Distribution of linked "o";"Q319699";344
Distribution of linked "o";"Q270995";341
Distribution of linked "o";"Q8701";338
Distribution of linked "o";"Q5794";328
Distribution of linked "o";"Q2739";319
Distribution of linked "o";"Q1130849";309
Distribution of linked "o";"Q2713491";307
Distribution of linked "o";"Q499616";307
Distribution of linked "o";"Q80955";303
Distribution of linked "o";"Q18708";301
Distribution of linked "o";"Q1450557";293
Distribution of linked "o";"Q2356290";292
Distribution of linked "o";"Q163534";291
Distribution of linked "o";"Q483020";287
Distribution of linked "o";"Q1624749";287
Distribution of linked "o";"Q18739";286
Distribution of linked "o";"Q514714";285
Distribution of linked "o";"Q678582";284
Distribution of linked "o";"Q1344163";283
Distribution of linked "o";"Q1422";275
Distribution of linked "o";"Q2358861";275
Distribution of linked "o";"Q18741";274
Distribution of linked "o";"Q506832";274
Distribution of linked "o";"Q2768";274
Distribution of linked "o";"Q181930";273
Distribution of linked "o";"Q495299";271
Distribution of linked "o";"Q2701714";271
Distribution of linked "o";"Q104761";270
Distribution of linked "o";"Q1110944";267
Distribution of linked "o";"Q18716";266
Distribution of linked "o";"Q80987";265
Distribution of linked "o";"Q9616";264
Distribution of linked "o";"Q18747";263
Distribution of linked "o";"Q168397";262
Distribution of linked "o";"Q1630430";259
Distribution of linked "o";"Q6601875";258
Distribution of linked "o";"20000101";258
Distribution of linked "o";"Q483868";255
Distribution of linked "o";"Q102720";252
Distribution of linked "o";"Q160826";250
Distribution of linked "o";"Q1202759";249
Distribution of linked "o";"Q170561";248
Distribution of linked "o";"Q105254";244
Distribution of linked "o";"Q131499";243
Distribution of linked "o";"Q19597";242
Distribution of linked "o";"Q134916";238
Distribution of linked "o";"Q267245";236
Distribution of linked "o";"Q18656";235
Distribution of linked "o";"Q33748";235
Distribution of linked "o";"Q189671";234
Distribution of linked "o";"Q478317";233
Distribution of linked "o";"Q1464421";229
Distribution of linked "o";"Q2637337";229
Distribution of linked "o";"Q3589784";226
Distribution of linked "o";"Q188277";226
Distribution of linked "o";"Q38568";224
Distribution of linked "o";"Q80845";224
Distribution of linked "o";"Q3873525";224
Distribution of linked "o";"Q19604";222
Distribution of linked "o";"Q194393";222
Distribution of linked "o";"Q2752922";222
Distribution of linked "o";"Q822990";222
Distribution of linked "o";"Q35933";220
Distribution of linked "o";"Q2693";219
Distribution of linked "o";"Q18723";218
Distribution of linked "o";"Q193481";214
Distribution of linked "o";"Q1049171";214
Distribution of linked "o";"Q2052";213
Distribution of linked "o";"Q2074";213
Distribution of linked "o";"Q1450568";212
Distribution of linked "o";"Q15789";211
Distribution of linked "o";"Q2714";211
Distribution of linked "o";"Q34044";211
Distribution of linked "o";"Q173009";208
Distribution of linked "o";"Q166196";207
