STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;462
delete.cypher;TOTAL;462

schema.cypher;indices;3
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;12

graphSetting.cypher;dataset loading;255
graphSetting.cypher;TOTAL;255

constraints.cypher;C0 - Strict Temporal Consistency;1361
constraints.cypher;C1 - birthDateConflict;5
constraints.cypher;C2 - deathDateConflict;3
constraints.cypher;C3 - birthDeathConflict;7
constraints.cypher;C4 - birthPlayerConflict;22
constraints.cypher;C5 - deathPlayerConflict;7
constraints.cypher;C6 - playerAgeConflict;24
constraints.cypher;C7 - playerTooOldConflict;25
constraints.cypher;C8 - twoTeamsConflict;2319
constraints.cypher;C14 - marriageConflict;110
constraints.cypher;C16 - birthMarriageConflict;3
constraints.cypher;C17 - deathMarriageConflict;2
constraints.cypher;C18 - playerCoachConflict;8
constraints.cypher;C19 - twoCompaniesConflict;18
constraints.cypher;TOTAL;3914

stats.cypher;Nb triplets;1
stats.cypher;Nb "o";1
stats.cypher;Nb "s";1
stats.cypher;nb "p";1
stats.cypher;Nb "p" links distribution;1
stats.cypher;Nb conflicts distribution;0
stats.cypher;Nb temporal conflicts;1
stats.cypher;Distribution of linked "o";1
results.cypher;mapping_Neo4j_wikidata;1
results.cypher;noConflicts;1
results.cypher;conflicts;1
