
;NB_triplets
Nb triplets;194420

;NB_o
Nb "o";31538

;NB_s
Nb "s";22890

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;118784
Nb "p" links distribution;"P569";NULL;46004
Nb "p" links distribution;"P570";NULL;26504
Nb "p" links distribution;"P26";NULL;2654
Nb "p" links distribution;"P108";NULL;336
Nb "p" links distribution;"P286";NULL;138

;TYPE;CONFLICT_CODE;NB
Nb conflicts distribution;"C1-1";NULL;453
Nb conflicts distribution;"TC1";NULL;151630
Nb conflicts distribution;"C1";NULL;18108
Nb conflicts distribution;"C16";NULL;1149
Nb conflicts distribution;"C14";NULL;4681
Nb conflicts distribution;"C17";NULL;162
Nb conflicts distribution;"C19";NULL;822
Nb conflicts distribution;"C3";NULL;3543
Nb conflicts distribution;"C2";NULL;2500
Nb conflicts distribution;"C6";NULL;73761
Nb conflicts distribution;"C8";NULL;5068931
Nb conflicts distribution;"C7";NULL;84836
Nb conflicts distribution;"C4";NULL;42454
Nb conflicts distribution;"C2-1";NULL;326
Nb conflicts distribution;"C5";NULL;427

;NB_pCon;NB_pConpInc;NB_pInc;NB_tInc;NB_total
Nb temporal conflicts;29362;29362;299282;3978;303260

;o_ID;NB
Distribution of linked "o";"Q83459";782
Distribution of linked "o";"Q204238";772
Distribution of linked "o";"Q314851";756
Distribution of linked "o";"Q47762";750
Distribution of linked "o";"Q1277549";710
Distribution of linked "o";"Q2016992";660
Distribution of linked "o";"Q316497";654
Distribution of linked "o";"Q1129595";610
Distribution of linked "o";"Q42267";550
Distribution of linked "o";"Q324854";548
Distribution of linked "o";"Q47774";514
Distribution of linked "o";"Q676899";488
Distribution of linked "o";"Q43310";454
Distribution of linked "o";"Q4512";452
Distribution of linked "o";"Q922698";450
Distribution of linked "o";"Q80964";448
Distribution of linked "o";"Q7156";424
Distribution of linked "o";"Q47050";394
Distribution of linked "o";"Q79800";392
Distribution of linked "o";"Q1811026";386
Distribution of linked "o";"Q1543";374
Distribution of linked "o";"Q631";370
Distribution of linked "o";"Q319699";368
Distribution of linked "o";"Q2713491";360
Distribution of linked "o";"Q2356290";358
Distribution of linked "o";"Q2308235";356
Distribution of linked "o";"Q270995";350
Distribution of linked "o";"Q9617";346
Distribution of linked "o";"Q8701";338
Distribution of linked "o";"Q132885";336
Distribution of linked "o";"Q514714";336
Distribution of linked "o";"Q1130849";334
Distribution of linked "o";"Q80955";318
Distribution of linked "o";"Q18708";308
Distribution of linked "o";"Q2358861";304
Distribution of linked "o";"Q5794";302
Distribution of linked "o";"Q18747";300
Distribution of linked "o";"Q499616";300
Distribution of linked "o";"Q80987";298
Distribution of linked "o";"Q678582";298
Distribution of linked "o";"Q18739";294
Distribution of linked "o";"Q506832";290
Distribution of linked "o";"Q1630430";288
Distribution of linked "o";"Q483020";284
Distribution of linked "o";"Q1450557";280
Distribution of linked "o";"Q131499";280
Distribution of linked "o";"Q1110944";280
Distribution of linked "o";"Q495299";278
Distribution of linked "o";"Q2701714";278
Distribution of linked "o";"Q2739";278
Distribution of linked "o";"Q1202759";276
Distribution of linked "o";"Q104761";276
Distribution of linked "o";"Q18716";272
Distribution of linked "o";"Q188277";270
Distribution of linked "o";"Q35933";270
Distribution of linked "o";"Q18741";268
Distribution of linked "o";"Q6601875";262
