
;NB_triplets
Nb triplets;48044

;NB_o
Nb "o";10904

;NB_s
Nb "s";6332

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;25762
Nb "p" links distribution;"P569";NULL;12840
Nb "p" links distribution;"P570";NULL;8476
Nb "p" links distribution;"P26";NULL;788
Nb "p" links distribution;"P108";NULL;150
Nb "p" links distribution;"P286";NULL;28

;TYPE;CONFLICT_CODE;NB
Nb conflicts distribution;"C1";NULL;5217
Nb conflicts distribution;"C3";NULL;1123
Nb conflicts distribution;"C2";NULL;733
Nb conflicts distribution;"C8";NULL;1077911
Nb conflicts distribution;"C6";NULL;16163
Nb conflicts distribution;"C7";NULL;19248
Nb conflicts distribution;"C4";NULL;9422
Nb conflicts distribution;"TC1";NULL;30807
Nb conflicts distribution;"C1-1";NULL;151
Nb conflicts distribution;"C16";NULL;325
Nb conflicts distribution;"C17";NULL;43
Nb conflicts distribution;"C2-1";NULL;129
Nb conflicts distribution;"C19";NULL;278
Nb conflicts distribution;"C14";NULL;2470
Nb conflicts distribution;"C5";NULL;47

;NB_pCon;NB_pConpInc;NB_pInc;NB_tInc;NB_total
Nb temporal conflicts;5794;5794;60708;906;61614

;o_ID;NB
Distribution of linked "o";"Q1277549";414
Distribution of linked "o";"Q47774";276
Distribution of linked "o";"Q314851";258
Distribution of linked "o";"Q2016992";214
Distribution of linked "o";"Q1450557";210
Distribution of linked "o";"Q43310";198
Distribution of linked "o";"Q324854";184
Distribution of linked "o";"Q1344163";172
Distribution of linked "o";"Q42267";168
Distribution of linked "o";"Q922698";166
Distribution of linked "o";"Q4512";156
Distribution of linked "o";"Q9617";156
Distribution of linked "o";"Q5794";152
Distribution of linked "o";"Q1129595";146
Distribution of linked "o";"Q132885";144
Distribution of linked "o";"Q1543";144
Distribution of linked "o";"Q316497";134
Distribution of linked "o";"Q2701714";132
Distribution of linked "o";"Q204238";130
Distribution of linked "o";"Q1450568";130
Distribution of linked "o";"Q319699";126
Distribution of linked "o";"Q2714";124
Distribution of linked "o";"Q495299";124
Distribution of linked "o";"Q3589784";122
Distribution of linked "o";"Q676899";120
Distribution of linked "o";"Q822990";116
Distribution of linked "o";"Q47762";116
Distribution of linked "o";"Q302977";116
Distribution of linked "o";"Q3873548";112
Distribution of linked "o";"Q18716";112
Distribution of linked "o";"Q303033";110
Distribution of linked "o";"Q15789";108
Distribution of linked "o";"Q331650";108
Distribution of linked "o";"Q83459";104
Distribution of linked "o";"Q18739";104
Distribution of linked "o";"Q2768";94
Distribution of linked "o";"Q2713491";94
Distribution of linked "o";"Q105254";94
Distribution of linked "o";"Q1422";92
Distribution of linked "o";"Q104761";92
Distribution of linked "o";"Q1130849";92
Distribution of linked "o";"Q208399";92
Distribution of linked "o";"Q204204";92
Distribution of linked "o";"Q631";86
Distribution of linked "o";"Q2358861";86
Distribution of linked "o";"Q2637337";86
Distribution of linked "o";"Q899189";84
Distribution of linked "o";"Q18741";84
Distribution of linked "o";"Q3873513";82
Distribution of linked "o";"Q19597";80
Distribution of linked "o";"Q2798";78
Distribution of linked "o";"Q7156";78
Distribution of linked "o";"Q304146";78
Distribution of linked "o";"Q2739";78
Distribution of linked "o";"Q501693";78
Distribution of linked "o";"Q3590033";78
Distribution of linked "o";"Q1202768";76
Distribution of linked "o";"Q204675";76
Distribution of linked "o";"Q105844";74
Distribution of linked "o";"Q704";74
Distribution of linked "o";"Q104770";72
Distribution of linked "o";"Q2356290";72
Distribution of linked "o";"Q2752922";72
Distribution of linked "o";"Q51976";72
Distribution of linked "o";"Q172476";72
Distribution of linked "o";"Q9616";72
Distribution of linked "o";"Q2266580";68
Distribution of linked "o";"Q1202759";68
Distribution of linked "o";"Q18723";68
Distribution of linked "o";"Q2308235";68
Distribution of linked "o";"Q302967";68
Distribution of linked "o";"Q8701";68
Distribution of linked "o";"Q1812121";68
Distribution of linked "o";"Q498536";66
Distribution of linked "o";"Q182876";66
Distribution of linked "o";"Q152424";66
Distribution of linked "o";"Q2693";66
Distribution of linked "o";"Q2609";66
Distribution of linked "o";"Q113136";64
Distribution of linked "o";"Q168397";64
Distribution of linked "o";"Q2331232";62
Distribution of linked "o";"Q35933";62
Distribution of linked "o";"Q218372";62
Distribution of linked "o";"Q698702";62
Distribution of linked "o";"Q1775265";62
Distribution of linked "o";"Q918209";62
Distribution of linked "o";"Q194393";60
Distribution of linked "o";"Q749138";60
Distribution of linked "o";"Q1195647";60
Distribution of linked "o";"Q17354166";60
Distribution of linked "o";"Q19444";60
Distribution of linked "o";"Q18708";60
Distribution of linked "o";"Q2310295";60
Distribution of linked "o";"Q131499";60
Distribution of linked "o";"Q33748";58
Distribution of linked "o";"Q34044";58
Distribution of linked "o";"Q2347256";58
Distribution of linked "o";"Q267245";58
Distribution of linked "o";"Q10467";56
Distribution of linked "o";"Q920294";56
Distribution of linked "o";"Q38245";56
Distribution of linked "o";"Q665920";56
Distribution of linked "o";"Q158121";56
Distribution of linked "o";"Q3873503";56
Distribution of linked "o";"Q2627402";56
Distribution of linked "o";"Q270995";54
Distribution of linked "o";"Q274465";54
Distribution of linked "o";"Q166196";54
Distribution of linked "o";"Q514714";54
Distribution of linked "o";"Q1630430";54
Distribution of linked "o";"Q2641";52
Distribution of linked "o";"Q249662";52
Distribution of linked "o";"Q190561";52
Distribution of linked "o";"Q141882";52
Distribution of linked "o";"Q163534";52
Distribution of linked "o";"Q131209";52
Distribution of linked "o";"Q1049176";52
Distribution of linked "o";"Q79800";52
Distribution of linked "o";"Q1389147";50
Distribution of linked "o";"Q161034";50
Distribution of linked "o";"Q102720";50
Distribution of linked "o";"Q19477";50
Distribution of linked "o";"Q1202771";50
Distribution of linked "o";"Q1624749";50
Distribution of linked "o";"Q8806";50
Distribution of linked "o";"Q12249";50
Distribution of linked "o";"Q101859";48
Distribution of linked "o";"Q212269";48
Distribution of linked "o";"Q845137";48
Distribution of linked "o";"Q1202764";48
Distribution of linked "o";"Q847587";48
Distribution of linked "o";"Q2052";46
Distribution of linked "o";"Q310608";46
Distribution of linked "o";"Q11938";46
Distribution of linked "o";"Q483868";46
Distribution of linked "o";"Q737049";44
Distribution of linked "o";"Q2175909";44
Distribution of linked "o";"Q203573";44
Distribution of linked "o";"Q28089";44
Distribution of linked "o";"Q22866";44
Distribution of linked "o";"Q209509";44
Distribution of linked "o";"Q9426";44
Distribution of linked "o";"Q748445";44
Distribution of linked "o";"Q18656";42
Distribution of linked "o";"Q5113698";42
Distribution of linked "o";"Q18744";42
Distribution of linked "o";"Q730809";42
Distribution of linked "o";"Q8466";42
Distribution of linked "o";"Q154408";42
Distribution of linked "o";"Q1202762";42
Distribution of linked "o";"Q2387559";42
Distribution of linked "o";"Q19604";42
Distribution of linked "o";"Q865720";42
Distribution of linked "o";"Q3590024";42
Distribution of linked "o";"Q19500";42
Distribution of linked "o";"Q1998181";42
Distribution of linked "o";"Q1464421";42
Distribution of linked "o";"Q849179";42
Distribution of linked "o";"Q32494";40
Distribution of linked "o";"Q646135";40
Distribution of linked "o";"Q47050";40
Distribution of linked "o";"Q128148";40
Distribution of linked "o";"Q287129";40
Distribution of linked "o";"Q221695";38
Distribution of linked "o";"Q38568";38
Distribution of linked "o";"Q155218";38
Distribution of linked "o";"Q107818";38
Distribution of linked "o";"Q161554";38
Distribution of linked "o";"Q3063059";38
Distribution of linked "o";"Q106394";38
Distribution of linked "o";"Q162450";38
Distribution of linked "o";"Q170561";38
Distribution of linked "o";"Q155186";38
Distribution of linked "o";"Q268776";38
Distribution of linked "o";"Q877411";38
Distribution of linked "o";"Q6601875";38
Distribution of linked "o";"Q1672798";38
Distribution of linked "o";"Q193481";38
Distribution of linked "o";"Q10383";38
Distribution of linked "o";"Q10308";36
Distribution of linked "o";"Q9164911";36
Distribution of linked "o";"Q157463";36
Distribution of linked "o";"Q15786";36
Distribution of linked "o";"Q19518";36
Distribution of linked "o";"Q3963603";36
Distribution of linked "o";"Q134479";36
Distribution of linked "o";"Q19607";36
Distribution of linked "o";"Q459929";36
