STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;696
delete.cypher;TOTAL;696

schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;12

graphSetting.cypher;dataset loading;493
graphSetting.cypher;TOTAL;493

constraints.cypher;Partial Temporal Consistency;30
constraints.cypher;Partial Temporal Inconsistency;109
constraints.cypher;Total Temporal Inconsistency;70
constraints.cypher;C1 - birthDateConflict;7
constraints.cypher;C1-1 - birthDateConflictPolarity;5
constraints.cypher;C2 - deathDateConflict;6
constraints.cypher;C2-1 - deathDateConflictPolarity;4
constraints.cypher;C3 - birthDeathConflict;6
constraints.cypher;C4 - birthPlayerConflict;2
constraints.cypher;C4 - birthPlayerConflict;14
constraints.cypher;C5 - deathPlayerConflict;8
constraints.cypher;C6 - playerAgeConflict;17
constraints.cypher;C7 - playerTooOldConflict;17
constraints.cypher;C8 - twoTeamsConflict;1075
constraints.cypher;C14 - marriageConflict;11
constraints.cypher;C16 - birthMarriageConflict;4
constraints.cypher;C17 - deathMarriageConflict;4
constraints.cypher;C18 - playerCoachConflict;8
constraints.cypher;C19 - twoCompaniesConflict;2
constraints.cypher;C6 - playerAgeConflict;26
constraints.cypher;TOTAL;1425

stats.cypher;Nb triplets;15
stats.cypher;Nb "o";6
stats.cypher;Nb "s";6
stats.cypher;nb "p";5
stats.cypher;Nb "p" links distribution;8
stats.cypher;Nb conflicts distribution;18
stats.cypher;Nb temporal conflicts;14
stats.cypher;Distribution of linked "o";8
results.cypher;mapping_Neo4j_wikidata;28
results.cypher;inferredNodes;5
results.cypher;tCon_noConflicts;2
results.cypher;tCon_conflicts;20
results.cypher;pCon_noConflicts;48
results.cypher;pCon_conflicts;39
results.cypher;pInc_noConflicts;49
results.cypher;pInc_conflicts;39
results.cypher;tInc_noConflicts;49
results.cypher;tInc_conflicts;40
