
;NB_triplets
Nb triplets;109234

;NB_o
Nb "o";26922

;NB_s
Nb "s";18597

;NB_p
nb "p";6

;ID;NAME;NB
Nb "p" links distribution;"P54";NULL;57180
Nb "p" links distribution;"P569";NULL;30822
Nb "p" links distribution;"P570";NULL;19270
Nb "p" links distribution;"P26";NULL;1566
Nb "p" links distribution;"P108";NULL;278
Nb "p" links distribution;"P286";NULL;118

;TYPE;CONFLICT_CODE;NB
Nb conflicts distribution;"TC1";NULL;38537
Nb conflicts distribution;"C16";NULL;429
Nb conflicts distribution;"C1";NULL;9698
Nb conflicts distribution;"C14";NULL;3341
Nb conflicts distribution;"C17";NULL;59
Nb conflicts distribution;"C1-1";NULL;289
Nb conflicts distribution;"C19";NULL;659
Nb conflicts distribution;"C3";NULL;2016
Nb conflicts distribution;"C2";NULL;1352
Nb conflicts distribution;"C6";NULL;20382
Nb conflicts distribution;"C8";NULL;1276420
Nb conflicts distribution;"C7";NULL;21804
Nb conflicts distribution;"C4";NULL;11614
Nb conflicts distribution;"C2-1";NULL;235
Nb conflicts distribution;"C5";NULL;120

;NB_pCon;NB_pConpInc;NB_pInc;NB_tInc;NB_total
Nb temporal conflicts;7148;7148;74406;2668;77074

;o_ID;NB
Distribution of linked "o";"Q314851";521
Distribution of linked "o";"Q1277549";506
Distribution of linked "o";"Q2016992";438
Distribution of linked "o";"Q316497";405
Distribution of linked "o";"Q324854";383
Distribution of linked "o";"Q4512";356
Distribution of linked "o";"Q47774";339
Distribution of linked "o";"Q43310";313
Distribution of linked "o";"Q83459";313
Distribution of linked "o";"Q204238";302
Distribution of linked "o";"Q319699";281
Distribution of linked "o";"Q47762";277
Distribution of linked "o";"Q1450557";240
Distribution of linked "o";"Q922698";231
Distribution of linked "o";"Q132885";229
Distribution of linked "o";"Q1543";225
Distribution of linked "o";"Q42267";222
Distribution of linked "o";"Q676899";218
Distribution of linked "o";"Q1129595";205
Distribution of linked "o";"Q9617";204
Distribution of linked "o";"Q1202759";201
Distribution of linked "o";"Q1344163";200
Distribution of linked "o";"Q2308235";188
Distribution of linked "o";"Q1811026";177
Distribution of linked "o";"Q7156";173
Distribution of linked "o";"Q514714";168
Distribution of linked "o";"Q104761";168
Distribution of linked "o";"Q5794";164
Distribution of linked "o";"Q105254";164
Distribution of linked "o";"Q1450568";160
Distribution of linked "o";"Q113136";159
Distribution of linked "o";"Q3873548";158
Distribution of linked "o";"Q33748";157
Distribution of linked "o";"Q495299";156
Distribution of linked "o";"Q2701714";156
Distribution of linked "o";"Q270995";154
Distribution of linked "o";"Q822990";154
Distribution of linked "o";"Q18739";152
Distribution of linked "o";"Q1130849";152
Distribution of linked "o";"20000101";152
Distribution of linked "o";"Q631";149
Distribution of linked "o";"Q3589784";147
Distribution of linked "o";"Q2714";145
Distribution of linked "o";"Q2739";143
Distribution of linked "o";"Q15789";142
Distribution of linked "o";"Q18716";140
Distribution of linked "o";"Q18741";140
Distribution of linked "o";"Q80955";139
Distribution of linked "o";"Q1630430";137
Distribution of linked "o";"Q18708";135
Distribution of linked "o";"Q79800";135
Distribution of linked "o";"Q2713491";135
Distribution of linked "o";"Q80964";135
Distribution of linked "o";"Q267245";134
Distribution of linked "o";"Q181930";134
Distribution of linked "o";"Q47050";133
Distribution of linked "o";"Q303033";132
Distribution of linked "o";"Q152424";130
Distribution of linked "o";"Q2358861";129
Distribution of linked "o";"Q208399";128
Distribution of linked "o";"Q8701";126
Distribution of linked "o";"Q2768";126
Distribution of linked "o";"Q102720";124
Distribution of linked "o";"Q51976";124
Distribution of linked "o";"Q302977";119
Distribution of linked "o";"Q678582";119
Distribution of linked "o";"Q483020";118
Distribution of linked "o";"Q899189";117
Distribution of linked "o";"Q506832";116
Distribution of linked "o";"Q478317";116
Distribution of linked "o";"Q1422";115
Distribution of linked "o";"Q163534";115
Distribution of linked "o";"Q104770";114
Distribution of linked "o";"Q80987";114
Distribution of linked "o";"Q6601875";112
Distribution of linked "o";"Q9616";112
Distribution of linked "o";"Q2752922";112
Distribution of linked "o";"Q2052";111
Distribution of linked "o";"Q2798";111
Distribution of linked "o";"Q204675";111
Distribution of linked "o";"Q698702";110
Distribution of linked "o";"Q194393";109
Distribution of linked "o";"Q158121";109
Distribution of linked "o";"Q35933";109
Distribution of linked "o";"Q331650";108
Distribution of linked "o";"Q38568";107
Distribution of linked "o";"Q3590033";106
Distribution of linked "o";"Q1624749";105
Distribution of linked "o";"Q1202768";104
Distribution of linked "o";"Q18723";103
Distribution of linked "o";"Q221695";103
Distribution of linked "o";"Q18747";102
Distribution of linked "o";"Q170561";102
Distribution of linked "o";"Q188277";101
Distribution of linked "o";"Q107818";101
Distribution of linked "o";"Q3873525";101
Distribution of linked "o";"Q38245";100
Distribution of linked "o";"Q131209";100
